measure,label,side,expected_sign,n_directions,spearman_rho,spearman_ci_low,spearman_ci_high,kendall_tau_b,kendall_ci_low,kendall_ci_high,ci_excludes_zero
regime_dist_log_effn,"Regime distance |Δ log effective component count| (primary)","P(y) spatial structure",negative,20,0.2898,-0.3787,0.7388,0.1947,-0.2947,0.5834,false
regime_dist_largest_share,"Regime distance |Δ largest-component share| (secondary)","P(y) spatial structure",negative,20,0.2898,-0.3895,0.7224,0.1947,-0.3059,0.5657,false
domain_classifier_auc,"Domain-classifier AUC (marginal separability)","P(x) marginal",negative,20,-0.3170,-0.7754,0.3276,-0.2379,-0.6246,0.2281,false
target_mean_dissimilarity,"Predictor-space mean dissimilarity (Emrehan, weighted AoA)","P(x) marginal",negative,12,-0.1049,-0.5865,0.4565,-0.0303,-0.4483,0.4074,false
target_p95_dissimilarity,"Predictor-space p95 dissimilarity (Emrehan)","P(x) marginal",negative,12,-0.0839,-0.5797,0.4662,0.0000,-0.4444,0.4008,false
fraction_inside_weighted_aoa,"Fraction of target inside weighted AoA (Emrehan)","P(x) marginal",positive,12,0.2168,-0.5000,0.6000,0.0909,-0.3548,0.3226,false
climate_distance,"Climatic distance (Emrehan, TerraClimate)","P(x) marginal",negative,12,0.0565,-0.6994,0.7926,0.0318,-0.6334,0.6334,false
geographic_distance_km,"Geographic centroid distance km (Emrehan)","geographic",negative,12,-0.2403,-0.8393,0.7175,-0.1589,-0.7455,0.6334,false
unweighted_fraction_inside_support,"Fraction of target inside unweighted support (Emrehan)","P(x) marginal",positive,12,0.0769,-0.9248,0.6087,0.0303,-0.8333,0.4836,false
agree_count_9,"Sign-agreement count, all 9 features","P(y|x) conditional",positive,20,0.1785,-0.4001,0.7183,0.1412,-0.3079,0.5781,false
vector_spearman_9,"Signed-AUC vector Spearman, all 9 features","P(y|x) conditional",positive,20,0.2687,-0.3631,0.7651,0.1947,-0.2896,0.6010,false
cosine_9,"Signed-AUC (AUC-0.5) cosine similarity, all 9 features","P(y|x) conditional",positive,20,0.5042,-0.1668,0.8253,0.3677,-0.1225,0.6848,false
agree_fraction_supported,"Sign-agreement fraction, features with both CIs excluding 0.5","P(y|x) conditional",positive,16,0.8404,0.5765,0.8764,0.7085,0.4956,0.7670,true
vector_spearman_supported,"Signed-AUC vector Spearman, supported features only (n>=3)","P(y|x) conditional",positive,2,NaN,NaN,NaN,NaN,NaN,NaN,false
cosine_supported,"Signed-AUC cosine, supported features only","P(y|x) conditional",positive,16,0.8054,0.3295,0.8774,0.6708,0.3067,0.7680,true
schoener_d_mean1d,"Schoener's D, mean of 9 1D overlaps","P(x|y=1) niche overlap",positive,20,0.2415,-0.4502,0.7415,0.1514,-0.3526,0.5557,false
warren_i_mean1d,"Warren's I, mean of 9 1D overlaps","P(x|y=1) niche overlap",positive,20,0.2234,-0.4233,0.7285,0.1514,-0.3179,0.5539,false
schoener_d_pca2d,"Schoener's D, PCA 2D histogram","P(x|y=1) niche overlap",positive,20,0.0966,-0.5108,0.6810,0.0649,-0.3889,0.5210,false
warren_i_pca2d,"Warren's I, PCA 2D histogram","P(x|y=1) niche overlap",positive,20,-0.0694,-0.6611,0.4913,-0.0649,-0.4978,0.3481,false
mahalanobis_burned,"Mahalanobis distance, burned centroids","P(x|y=1) niche overlap",negative,20,-0.2264,-0.7499,0.4422,-0.1730,-0.6011,0.3300,false
